NOMBRE,DESCRIPCION,IMAGEN
Accesorios de Cabinas," Cabinas completas, manijas, rieles y otros componentes esenciales para el mantenimiento y funcionalidad de la cabina del operador.",cat_com_Accesorios-Cabinas.png
Aslfaltadores y Vibrocompactadores, Componentes y repuestos para asfaltadores y vibrocompactadores.,cat_com_Asfaltadores.png
Baldes," Baldes y sus accesorios para excavadoras, retroexcavadoras, cargadores y minicargadores.",cat_com_Baldes.png
Baterias, Baterías de alto rendimiento y durabilidad para todo tipo de maquinaria pesada.,cat_com_Baterias.png
Caballetes, Suministros de caballetes completos para retroexcavadoras.,cat_com_Caballetes.png
Cableados Electronicos (Arnés)," Cableados y arneses electrónicos de alta calidad, diseñados para garantizar la conexión de los diferentes sistemas de la máquina.",cat_com_Cableados-Arnes.png
Cadenas para Tandem, Cadenas y sprockets de transmisión para sistemas tándem.,cat_com_Cadenas-Tandem.png
Clasicos y segunda mano, Repuestos para maquinaria antigua y una selección de repuestos de segunda mano en buen estado.,cat_com_Clasicos-Segunda-Mano.png
Compresores de Aire acondicionado," Compresores y sus componentes relacionados, diseñados para los sistemas de aire acondicionado de la maquinaria.",cat_com_Compresores-AC.png
Controladores Electronicos y Monitores," Controladores electrónicos programados y sin programar, monitores, clusters y sus componentes como pantallas e integrados.",cat_com_Controladores-Monitores.png
Correas," Correas acanaladas, correas en V, multibandas, tensores y patines para los sistemas de la máquina.",cat_com_Correas.png
Crucetas," Crucetas para transmisiones y cardanes, asegurando la transferencia de potencia.",cat_com_Crucetas.png
Dientes y Bases," Dientes, bases, basedientes, seguros, pasadores, arandelas y esquineros para balde.",cat_com_Dientes-Bases.png
Discos de Friccion y Platos Separadores," Discos de fricción y platos separadores para frenos, transmisiones y motores hidráulicos.",cat_com_Discos-Friccion.png
Electricos," Solenoides de apagado, solenoides mecánicos, bobinas, relays, switches, cableado general, potenciómetros y otros componentes eléctricos.",cat_com_Electricos.png
Empaquetaduras Hidraulicas," Empaquetaduras hidráulicas y sellos sueltos para cilindros, bancos de válvulas, motores y bombas hidráulicas.",cat_com_Empaquetaduras-Hidraulicas.png
Filtracion," Filtros de alta eficiencia para motor, sistemas hidráulicos, de combustible y aire.",cat_com_Filtracion.png
Frenos," Cilindros, bombas, campanas, pastillas, empaquetaduras y demás componentes para el sistema de frenos.",cat_com_Frenos.png
Herramienta de Corte," Cuchillas, esquineras y tornillería especializada para herramienta de corte.",cat_com_Herramienta-Corte.png
Hidrailicos Americanos, Bombas y piezas hidráulicas de marcas americanas como Parker.,cat_com_Hidraulicos-Americanos.png
Hidraulicos Asiaticos," Bombas y piezas hidráulicas de marcas asiáticas para excavadoras, como Kawasaki, Uchida, KYB, Nabtesco, etc.",cat_com_Hidraulicos-Asiaticos.png
Hidraulicos Europeos," Bombas y piezas hidráulicas de marcas europeas como Bosch-Rexroth, Danfoss, Cassapa y Poclain.",cat_com_Hidraulicos-Europeos.png
